#  x1, kvot        y1              x2, brus 14     y2              x3, brus 9      y3              x4, ed          y4              x5, lp          y5              x6, spring 2.6  y6              x7, spring 6.0  y7
   2.9748469e-01   8.2287200e-01   2.7725168e-01   4.7777600e-01   2.8678415e-01   6.5045100e-01   2.6672853e-01   4.3046358e-01   2.9602889e-01   6.1139896e-01   2.8235663e-01   4.5544400e-01   2.9371242e-01   6.4240600e-01
   3.0740079e-01   8.1567500e-01   2.8649340e-01   4.6484900e-01   2.9634361e-01   6.3928800e-01   2.7558675e-01   4.1721854e-01   3.0582577e-01   5.9585492e-01   2.9176852e-01   4.4029700e-01   3.0350282e-01   6.3020200e-01
   3.1731689e-01   8.0838200e-01   2.9573512e-01   4.5207400e-01   3.0590306e-01   6.2801900e-01   2.8444496e-01   4.0397351e-01   3.1562265e-01   5.7512953e-01   3.0118040e-01   4.2532600e-01   3.1329322e-01   6.1809900e-01
   3.2723299e-01   8.0099100e-01   3.0497683e-01   4.3953500e-01   3.1546251e-01   6.1694400e-01   2.9330317e-01   3.9403974e-01   3.2541953e-01   5.6994819e-01   3.1059229e-01   4.1066500e-01   3.2308362e-01   6.0577400e-01
   3.3714908e-01   7.9362400e-01   3.1421855e-01   4.2688000e-01   3.2502196e-01   6.0573400e-01   3.0216139e-01   3.8079470e-01   3.3521641e-01   5.4922280e-01   3.2000417e-01   3.9607200e-01   3.3287403e-01   5.9320400e-01
   3.4706518e-01   7.8595700e-01   3.2346027e-01   4.1446100e-01   3.3458141e-01   5.9453000e-01   3.1101960e-01   3.6423841e-01   3.4501329e-01   5.3367876e-01   3.2941605e-01   3.8187500e-01   3.4266443e-01   5.8067400e-01
   3.5698128e-01   7.7832200e-01   3.3270198e-01   4.0193500e-01   3.4414086e-01   5.8325300e-01   3.1987781e-01   3.5430464e-01   3.5481018e-01   5.2331606e-01   3.3882794e-01   3.6788500e-01   3.5245483e-01   5.6812400e-01
   3.6689738e-01   7.7063000e-01   3.4194370e-01   3.8964700e-01   3.5370031e-01   5.7164200e-01   3.2873603e-01   3.4768212e-01   3.6460706e-01   5.1295337e-01   3.4823982e-01   3.5392000e-01   3.6224523e-01   5.5562000e-01
   3.7681348e-01   7.6281500e-01   3.5118542e-01   3.7736300e-01   3.6325977e-01   5.6044500e-01   3.3759424e-01   3.3443709e-01   3.7440394e-01   5.0777202e-01   3.5765171e-01   3.4023000e-01   3.7203563e-01   5.4300800e-01
   3.8672957e-01   7.5489700e-01   3.6042713e-01   3.6542500e-01   3.7281922e-01   5.4929200e-01   3.4645246e-01   3.3112583e-01   3.8420082e-01   5.0259067e-01   3.6706359e-01   3.2687400e-01   3.8182603e-01   5.3064500e-01
   3.9664567e-01   7.4668700e-01   3.6966885e-01   3.5348100e-01   3.8237867e-01   5.3790500e-01   3.5531067e-01   3.2119205e-01   3.9399770e-01   4.9222798e-01   3.7647548e-01   3.1344100e-01   3.9161644e-01   5.1807800e-01
   4.0656177e-01   7.3839400e-01   3.7891057e-01   3.4177800e-01   3.9193812e-01   5.2649800e-01   3.6416888e-01   3.1125828e-01   4.0379458e-01   4.7668394e-01   3.8588736e-01   3.0050100e-01   4.0140684e-01   5.0559500e-01
   4.1647787e-01   7.2994900e-01   3.8815228e-01   3.3002600e-01   4.0149757e-01   5.1480300e-01   3.7302710e-01   2.9470199e-01   4.1359147e-01   4.6113990e-01   3.9529925e-01   2.8771800e-01   4.1119724e-01   4.9306300e-01
   4.2639396e-01   7.2142200e-01   3.9739400e-01   3.1849700e-01   4.1105702e-01   5.0330500e-01   3.8188531e-01   2.7483444e-01   4.2338835e-01   4.6113990e-01   4.0471113e-01   2.7545000e-01   4.2098764e-01   4.8037500e-01
   4.3631006e-01   7.1280400e-01   4.0663572e-01   3.0717100e-01   4.2061647e-01   4.9176600e-01   3.9074353e-01   2.5827815e-01   4.3318523e-01   4.3523316e-01   4.1412301e-01   2.6335900e-01   4.3077804e-01   4.6780000e-01
   4.4622616e-01   7.0413900e-01   4.1587743e-01   2.9580000e-01   4.3017593e-01   4.7985600e-01   3.9960174e-01   2.4503311e-01   4.4298211e-01   4.1968912e-01   4.2353490e-01   2.5134900e-01   4.4056844e-01   4.5532800e-01
   4.5614226e-01   6.9503900e-01   4.2511915e-01   2.8488900e-01   4.3973538e-01   4.6818000e-01   4.0845995e-01   2.4172185e-01   4.5277899e-01   4.0932642e-01   4.3294678e-01   2.3970300e-01   4.5035885e-01   4.4277200e-01
   4.6605836e-01   6.8583600e-01   4.3436087e-01   2.7371100e-01   4.4929483e-01   4.5650900e-01   4.1731817e-01   2.3178808e-01   4.6257587e-01   3.9378238e-01   4.4235867e-01   2.2849600e-01   4.6014925e-01   4.3031200e-01
   4.7597445e-01   6.7659200e-01   4.4360258e-01   2.6261300e-01   4.5885428e-01   4.4483400e-01   4.2617638e-01   2.2516556e-01   4.7237275e-01   3.7823834e-01   4.5177055e-01   2.1749800e-01   4.6993965e-01   4.1772700e-01
   4.8589055e-01   6.6707000e-01   4.5284430e-01   2.5179900e-01   4.6841373e-01   4.3299300e-01   4.3503459e-01   2.2185430e-01   4.8216964e-01   3.7823834e-01   4.6118244e-01   2.0666900e-01   4.7973005e-01   4.0537200e-01
   4.9580665e-01   6.5757900e-01   4.6208602e-01   2.4111000e-01   4.7797318e-01   4.2125100e-01   4.4389281e-01   2.1523179e-01   4.9196652e-01   3.7823834e-01   4.7059432e-01   1.9615300e-01   4.8952045e-01   3.9303400e-01
   5.0572275e-01   6.4774600e-01   4.7132773e-01   2.3067300e-01   4.8753263e-01   4.0951300e-01   4.5275102e-01   2.0860927e-01   5.0176340e-01   3.6269430e-01   4.8000620e-01   1.8588800e-01   4.9931086e-01   3.8071300e-01
   5.1563884e-01   6.3785700e-01   4.8056945e-01   2.2029700e-01   4.9709209e-01   3.9770200e-01   4.6160924e-01   2.0860927e-01   5.1156028e-01   3.6269430e-01   4.8941809e-01   1.7601700e-01   5.0910126e-01   3.6826800e-01
   5.2555494e-01   6.2750300e-01   4.8981117e-01   2.0991200e-01   5.0665154e-01   3.8585700e-01   4.7046745e-01   2.0529801e-01   5.2135716e-01   3.4715026e-01   4.9882997e-01   1.6630000e-01   5.1889166e-01   3.5590400e-01
   5.3547104e-01   6.1695300e-01   4.9905288e-01   1.9964600e-01   5.1621099e-01   3.7384100e-01   4.7932566e-01   1.9867550e-01   5.3115404e-01   3.3160622e-01   5.0824186e-01   1.5686300e-01   5.2868206e-01   3.4365400e-01
   5.4538714e-01   6.0618600e-01   5.0829460e-01   1.8957600e-01   5.2577044e-01   3.6191700e-01   4.8818388e-01   1.9536424e-01   5.4095092e-01   3.1606218e-01   5.1765374e-01   1.4769100e-01   5.3847246e-01   3.3129400e-01
   5.5530323e-01   5.9540600e-01   5.1753632e-01   1.7988600e-01   5.3532989e-01   3.5010900e-01   4.9704209e-01   1.8874172e-01   5.5074781e-01   3.0051813e-01   5.2706563e-01   1.3869600e-01   5.4826286e-01   3.1904700e-01
   5.6521933e-01   5.8434800e-01   5.2677803e-01   1.7035300e-01   5.4488934e-01   3.3820500e-01   5.0590031e-01   1.8211921e-01   5.6054469e-01   2.8497409e-01   5.3647751e-01   1.2996800e-01   5.5805327e-01   3.0700200e-01
   5.7513543e-01   5.7331500e-01   5.3601975e-01   1.6094800e-01   5.5444879e-01   3.2622600e-01   5.1475852e-01   1.7880795e-01   5.7034157e-01   2.8497409e-01   5.4588940e-01   1.2169000e-01   5.6784367e-01   2.9502200e-01
   5.8505153e-01   5.6202300e-01   5.4526147e-01   1.5178600e-01   5.6400824e-01   3.1410100e-01   5.2361673e-01   1.7880795e-01   5.8013845e-01   2.7461140e-01   5.5530128e-01   1.1376100e-01   5.7763407e-01   2.8302700e-01
   5.9496763e-01   5.5044100e-01   5.5450318e-01   1.4259200e-01   5.7356770e-01   3.0199200e-01   5.3247495e-01   1.6556291e-01   5.8993533e-01   2.7461140e-01   5.6471316e-01   1.0607500e-01   5.8742447e-01   2.7100700e-01
   6.0488372e-01   5.3862500e-01   5.6374490e-01   1.3381200e-01   5.8312715e-01   2.8991500e-01   5.4133316e-01   1.6225166e-01   5.9973221e-01   2.6943005e-01   5.7412505e-01   9.8620000e-02   5.9721487e-01   2.5923000e-01
   6.1479982e-01   5.2668000e-01   5.7298662e-01   1.2527600e-01   5.9268660e-01   2.7797900e-01   5.5019138e-01   1.5562914e-01   6.0952910e-01   2.5388601e-01   5.8353693e-01   9.1605000e-02   6.0700527e-01   2.4740800e-01
   6.2471592e-01   5.1451800e-01   5.8222833e-01   1.1691500e-01   6.0224605e-01   2.6596900e-01   5.5904959e-01   1.4900662e-01   6.1932598e-01   2.5388601e-01   5.9294882e-01   8.4850000e-02   6.1679568e-01   2.3574700e-01
   6.3463202e-01   5.0231800e-01   5.9147005e-01   1.0877200e-01   6.1180550e-01   2.5402100e-01   5.6790780e-01   1.3576159e-01   6.2912286e-01   2.3316062e-01   6.0236070e-01   7.8439000e-02   6.2658608e-01   2.2425000e-01
   6.4454811e-01   4.8980500e-01   6.0071177e-01   1.0079700e-01   6.2136495e-01   2.4194600e-01   5.7676602e-01   1.2251656e-01   6.3891974e-01   2.1761658e-01   6.1177259e-01   7.2238000e-02   6.3637648e-01   2.1277700e-01
   6.5446421e-01   4.7700600e-01   6.0995348e-01   9.3227000e-02   6.3092440e-01   2.3025700e-01   5.8562423e-01   1.1258278e-01   6.4871662e-01   2.0207254e-01   6.2118447e-01   6.6470000e-02   6.4616688e-01   2.0147100e-01
   6.6438031e-01   4.6385100e-01   6.1919520e-01   8.6013000e-02   6.4048386e-01   2.1837400e-01   5.9448244e-01   1.0927152e-01   6.5851350e-01   1.8652850e-01   6.3059635e-01   6.0770000e-02   6.5595728e-01   1.9032100e-01
   6.7429641e-01   4.5047000e-01   6.2843692e-01   7.8950000e-02   6.5004331e-01   2.0656500e-01   6.0334066e-01   1.0596026e-01   6.6831038e-01   1.8134715e-01   6.4000824e-01   5.5389000e-02   6.6574769e-01   1.7946700e-01
   6.8421251e-01   4.3684800e-01   6.3767863e-01   7.2350000e-02   6.5960276e-01   1.9469200e-01   6.1219887e-01   9.2715232e-02   6.7810727e-01   1.6580311e-01   6.4942012e-01   5.0182000e-02   6.7553809e-01   1.6866700e-01
   6.9412860e-01   4.2285000e-01   6.4692035e-01   6.6061000e-02   6.6916221e-01   1.8312900e-01   6.2105709e-01   8.6092715e-02   6.8790415e-01   1.5025907e-01   6.5883201e-01   4.5364000e-02   6.8532849e-01   1.5805100e-01
   7.0404470e-01   4.0879800e-01   6.5616207e-01   5.9858000e-02   6.7872166e-01   1.7164500e-01   6.2991530e-01   8.6092715e-02   6.9770103e-01   1.4507772e-01   6.6824389e-01   4.0918000e-02   6.9511889e-01   1.4782100e-01
   7.1396080e-01   3.9411800e-01   6.6540378e-01   5.3991000e-02   6.8828111e-01   1.6031500e-01   6.3877351e-01   7.2847682e-02   7.0749791e-01   1.3989637e-01   6.7765578e-01   3.6741000e-02   7.0490929e-01   1.3761900e-01
   7.2387690e-01   3.7911500e-01   6.7464550e-01   4.8391000e-02   6.9784056e-01   1.4912700e-01   6.4763173e-01   7.2847682e-02   7.1729479e-01   1.3989637e-01   6.8706766e-01   3.2804000e-02   7.1469969e-01   1.2763600e-01
   7.3379299e-01   3.6413300e-01   6.8388722e-01   4.3127000e-02   7.0740002e-01   1.3806100e-01   6.5648994e-01   6.9536424e-02   7.2709167e-01   1.2953368e-01   6.9647955e-01   2.9085000e-02   7.2449010e-01   1.1785000e-01
   7.4370909e-01   3.4878700e-01   6.9312894e-01   3.8183000e-02   7.1695947e-01   1.2723300e-01   6.6534816e-01   6.2913907e-02   7.3688855e-01   1.1917098e-01   7.0589143e-01   2.5701000e-02   7.3428050e-01   1.0853500e-01
   7.5362519e-01   3.3312300e-01   7.0237065e-01   3.3568000e-02   7.2651892e-01   1.1676800e-01   6.7420637e-01   5.6291391e-02   7.4668544e-01   1.0880829e-01   7.1530331e-01   2.2625000e-02   7.4407090e-01   9.9459000e-02
   7.6354129e-01   3.1722500e-01   7.1161237e-01   2.9256000e-02   7.3607837e-01   1.0656700e-01   6.8306458e-01   4.6357616e-02   7.5648232e-01   1.0362694e-01   7.2471520e-01   1.9747000e-02   7.5386130e-01   9.0601000e-02
   7.7345739e-01   3.0084400e-01   7.2085409e-01   2.5337000e-02   7.4563782e-01   9.6501000e-02   6.9192280e-01   4.3046358e-02   7.6627920e-01   8.8082902e-02   7.3412708e-01   1.7110000e-02   7.6365170e-01   8.1929000e-02
   7.8337348e-01   2.8437100e-01   7.3009580e-01   2.1620000e-02   7.5519727e-01   8.6837000e-02   7.0078101e-01   3.6423841e-02   7.7607608e-01   8.2901554e-02   7.4353897e-01   1.4664000e-02   7.7344210e-01   7.3498000e-02
   7.9328958e-01   2.6737400e-01   7.3933752e-01   1.8310000e-02   7.6475672e-01   7.7562000e-02   7.0963922e-01   3.6423841e-02   7.8587296e-01   7.2538860e-02   7.5295085e-01   1.2463000e-02   7.8323251e-01   6.5662000e-02
   8.0320568e-01   2.5028100e-01   7.4857924e-01   1.5374000e-02   7.7431618e-01   6.8864000e-02   7.1849744e-01   2.9801325e-02   7.9566984e-01   6.7357513e-02   7.6236274e-01   1.0496000e-02   7.9302291e-01   5.7997000e-02
   8.1312178e-01   2.3314600e-01   7.5782095e-01   1.2661000e-02   7.8387563e-01   6.0423000e-02   7.2735565e-01   2.6490066e-02   8.0546672e-01   6.7357513e-02   7.7177462e-01   8.7310000e-03   8.0281331e-01   5.0886000e-02
   8.2303787e-01   2.1564100e-01   7.6706267e-01   1.0382000e-02   7.9343508e-01   5.2332000e-02   7.3621387e-01   1.9867550e-02   8.1526361e-01   6.2176166e-02   7.8118650e-01   7.2600000e-03   8.1260371e-01   4.4211000e-02
   8.3295397e-01   1.9790000e-01   7.7630439e-01   8.3390000e-03   8.0299453e-01   4.4707000e-02   7.4507208e-01   1.3245033e-02   8.2506049e-01   6.2176166e-02   7.9059839e-01   5.9640000e-03   8.2239411e-01   3.7874000e-02
   8.4287007e-01   1.8026000e-01   7.8554610e-01   6.5570000e-03   8.1255398e-01   3.7618000e-02   7.5393029e-01   1.3245033e-02   8.3485737e-01   6.2176166e-02   8.0001027e-01   4.7330000e-03   8.3218452e-01   3.2049000e-02
   8.5278617e-01   1.6253600e-01   7.9478782e-01   5.1020000e-03   8.2211343e-01   3.1231000e-02   7.6278851e-01   1.3245033e-02   8.4465425e-01   5.6994819e-02   8.0942216e-01   3.7130000e-03   8.4197492e-01   2.6636000e-02
   8.6270226e-01   1.4481300e-01   8.0402954e-01   3.8440000e-03   8.3167288e-01   2.5505000e-02   7.7164672e-01   1.3245033e-02   8.5445113e-01   5.1813472e-02   8.1883404e-01   2.8790000e-03   8.5176532e-01   2.1864000e-02
   8.7261836e-01   1.2736200e-01   8.1327125e-01   2.8090000e-03   8.4123234e-01   2.0214000e-02   7.8050494e-01   1.3245033e-02   8.6424801e-01   4.1450777e-02   8.2824593e-01   2.1940000e-03   8.6155572e-01   1.7559000e-02
   8.8253446e-01   1.0988600e-01   8.2251297e-01   2.0280000e-03   8.5079179e-01   1.5685000e-02   7.8936315e-01   1.3245033e-02   8.7404490e-01   3.1088083e-02   8.3765781e-01   1.6210000e-03   8.7134612e-01   1.3632000e-02
   8.9245056e-01   9.2652000e-02   8.3175469e-01   1.3730000e-03   8.6035124e-01   1.1757000e-02   7.9822136e-01   1.3245033e-02   8.8384178e-01   2.5906736e-02   8.4706969e-01   1.1580000e-03   8.8113652e-01   1.0323000e-02
   9.0236666e-01   7.6326000e-02   8.4099640e-01   9.1300000e-04   8.6991069e-01   8.4590000e-03   8.0707958e-01   1.3245033e-02   8.9363866e-01   2.0725389e-02   8.5648158e-01   8.1900000e-04   8.9092693e-01   7.4340000e-03
   9.1228275e-01   6.0803000e-02   8.5023812e-01   5.7900000e-04   8.7947014e-01   5.8030000e-03   8.1593779e-01   1.3245033e-02   9.0343554e-01   1.5544041e-02   8.6589346e-01   5.6400000e-04   9.0071733e-01   5.1640000e-03
   9.2219885e-01   4.6450000e-02   8.5947984e-01   3.5600000e-04   8.8902959e-01   3.7380000e-03   8.2479600e-01   1.3245033e-02   9.1323242e-01   1.0362694e-02   8.7530535e-01   3.6600000e-04   9.1050773e-01   3.3890000e-03
   9.3211495e-01   3.3193000e-02   8.6872155e-01   1.8500000e-04   8.9858904e-01   2.2430000e-03   8.3365422e-01   9.9337748e-03   9.2302930e-01   1.0362694e-02   8.8471723e-01   2.0500000e-04   9.2029813e-01   2.0850000e-03
   9.4203105e-01   2.1525000e-02   8.7796327e-01   9.0000000e-05   9.0814850e-01   1.2060000e-03   8.4251243e-01   9.9337748e-03   9.3282618e-01   1.0362694e-02   8.9412912e-01   1.1500000e-04   9.3008853e-01   1.1020000e-03
   9.5194714e-01   1.2416000e-02   8.8720499e-01   3.9000000e-05   9.1770795e-01   5.6100000e-04   8.5137065e-01   9.9337748e-03   9.4262307e-01   5.1813472e-03   9.0354100e-01   6.0000000e-05   9.3987893e-01   4.9000000e-04
   9.6186324e-01   5.7210000e-03   8.9644670e-01   1.8000000e-05   9.2726740e-01   2.3000000e-04   8.6022886e-01   9.9337748e-03   9.5241995e-01   5.1813472e-03   9.1295289e-01   3.3000000e-05   9.4966934e-01   1.7100000e-04
   9.7177934e-01   1.7940000e-03   9.0568842e-01   6.0000000e-06   9.3682685e-01   7.3000000e-05   8.6908707e-01   6.6225166e-03   9.6221683e-01   5.1813472e-03   9.2236477e-01   1.4000000e-05   9.5945974e-01   4.3000000e-05
   9.8169544e-01   2.1900000e-04   9.1493014e-01   2.0000000e-06   9.4638630e-01   1.5000000e-05   8.7794529e-01   6.6225166e-03   9.7201371e-01   5.1813472e-03   9.3177665e-01   4.0000000e-06   9.6925014e-01   9.0000000e-06
#   9.8665349e-01   0.0000000e+00   9.1955100e-01   0.0000000e+00   9.5116603e-01   0.0000000e+00   8.8237440e-01   0.0000000e+00   9.7691215e-01   0.0000000e+00   9.3648260e-01   0.0000000e+00   9.7414534e-01   0.0000000e+00
