#  x1: wiener      y1              x2: brus 6.0    y2              x3: ed          y3              x4: lp          y4              x5: spring 4.0s y5              
   5.7664822e-01   7.3930000e-01   5.4014149e-01   8.8953000e-01   5.3247495e-01   8.3443709e-01   5.8993533e-01   7.2538860e-01   5.4824968e-01   9.1453000e-01
   5.9586972e-01   7.6198000e-01   5.5814602e-01   9.0380000e-01   5.5019138e-01   8.4437086e-01   6.0952910e-01   7.4611399e-01   5.6652460e-01   9.2729000e-01
   6.1509122e-01   7.8461000e-01   5.7615055e-01   9.1721000e-01   5.6790780e-01   8.6423841e-01   6.2912286e-01   7.6683938e-01   5.8479951e-01   9.3876000e-01
   6.3431273e-01   8.0658000e-01   5.9415508e-01   9.2934000e-01   5.8562423e-01   8.8741722e-01   6.4871662e-01   7.9792746e-01   6.0307443e-01   9.4887000e-01
   6.5353423e-01   8.2861000e-01   6.1215961e-01   9.4035000e-01   6.0334066e-01   8.9403974e-01   6.6831038e-01   8.1865285e-01   6.2134934e-01   9.5751000e-01
   6.7275574e-01   8.4844000e-01   6.3016414e-01   9.5017000e-01   6.2105709e-01   9.1390728e-01   6.8790415e-01   8.4974093e-01   6.3962425e-01   9.6571000e-01
   6.9197724e-01   8.6778000e-01   6.4816867e-01   9.5922000e-01   6.3877351e-01   9.2715232e-01   7.0749791e-01   8.6010363e-01   6.5789917e-01   9.7264000e-01
   7.1119875e-01   8.8675000e-01   6.6617320e-01   9.6723000e-01   6.5648994e-01   9.3046358e-01   7.2709167e-01   8.7046632e-01   6.7617408e-01   9.7886000e-01
   7.3042025e-01   9.0460000e-01   6.8417773e-01   9.7409000e-01   6.7420637e-01   9.4370861e-01   7.4668544e-01   8.9119171e-01   6.9444900e-01   9.8380000e-01
   7.4964176e-01   9.2115000e-01   7.0218226e-01   9.8038000e-01   6.9192280e-01   9.5695364e-01   7.6627920e-01   9.1191710e-01   7.1272391e-01   9.8786000e-01
   7.6886326e-01   9.3660000e-01   7.2018678e-01   9.8549000e-01   7.0963922e-01   9.6357616e-01   7.8587296e-01   9.2746114e-01   7.3099882e-01   9.9086000e-01
   7.8808476e-01   9.5049000e-01   7.3819131e-01   9.8982000e-01   7.2735565e-01   9.7350993e-01   8.0546672e-01   9.3264249e-01   7.4927374e-01   9.9351000e-01
   8.0730627e-01   9.6272000e-01   7.5619584e-01   9.9310000e-01   7.4507208e-01   9.8675497e-01   8.2506049e-01   9.3782383e-01   7.6754865e-01   9.9559000e-01
   8.2652777e-01   9.7311000e-01   7.7420037e-01   9.9558000e-01   7.6278851e-01   9.8675497e-01   8.4465425e-01   9.4300518e-01   7.8582357e-01   9.9701000e-01
   8.4574928e-01   9.8185000e-01   7.9220490e-01   9.9731000e-01   7.8050494e-01   9.8675497e-01   8.6424801e-01   9.5854922e-01   8.0409848e-01   9.9810000e-01
   8.6497078e-01   9.8809000e-01   8.1020943e-01   9.9850000e-01   7.9822136e-01   9.8675497e-01   8.8384178e-01   9.7409326e-01   8.2237339e-01   9.9887000e-01
   8.8419229e-01   9.9325000e-01   8.2821396e-01   9.9940000e-01   8.1593779e-01   9.8675497e-01   9.0343554e-01   9.8445596e-01   8.4064831e-01   9.9932000e-01
   9.0341379e-01   9.9699000e-01   8.4621849e-01   9.9970000e-01   8.3365422e-01   9.9006623e-01   9.2302930e-01   9.8963731e-01   8.5892322e-01   9.9968000e-01
   9.2263530e-01   9.9901000e-01   8.6422302e-01   9.9988000e-01   8.5137065e-01   9.9006623e-01   9.4262307e-01   9.9481865e-01   8.7719813e-01   9.9988000e-01
   9.4185680e-01   9.9977000e-01   8.8222755e-01   9.9998000e-01   8.6908707e-01   9.9337748e-01   9.6221683e-01   9.9481865e-01   8.9547305e-01   9.9997000e-01
   9.5146755e-01   1.0000000e+00   8.9122982e-01   1.0000000e+00   8.7794529e-01   1.0000000e+00   9.7201371e-01   1.0000000e+00   9.0461051e-01   1.0000000e+00
