1	1	0	88.641	659.052	0	0.698	2.724	9.176	35.058	146.435	60.773
2	1	1	89.038	659.137	0	0.689	2.753	9.422	36.831	158.414	76.861
3	1	2	90.335	658.568	0	0.664	2.659	8.718	32.369	131.289	73.516
4	1	3	88.652	659.364	0	0.684	2.687	8.892	33.297	136.112	53.490
5	1	4	88.352	659.964	0	0.659	2.649	8.697	32.445	132.468	82.723
6	1	5	88.632	660.008	0	0.656	2.787	9.602	37.578	160.873	29.477
7	1	6	88.712	659.457	0	0.708	2.675	8.794	32.673	132.351	88.709
8	1	7	88.547	659.722	0	0.654	2.642	8.630	31.945	129.167	57.597
9	1	8	88.512	660.276	0	0.653	2.658	8.782	33.039	136.401	65.568
10	1	9	88.591	662.752	0	0.665	2.714	9.088	34.526	143.513	59.965
11	1	10	89.312	657.643	0	0.655	2.676	8.814	32.807	133.165	51.991
12	1	11	88.593	659.627	0	0.645	2.657	8.692	32.100	128.993	46.143
13	1	12	88.934	658.672	0	0.629	2.710	9.067	34.344	141.982	61.029
14	1	13	88.168	659.157	0	0.656	2.630	8.529	31.355	126.125	79.681
15	1	14	88.295	658.945	0	0.688	2.584	8.245	29.777	117.358	27.221
16	1	15	88.278	658.255	0	0.664	2.626	8.482	30.947	123.087	86.596
17	1	16	97.210	658.189	0	0.647	2.729	9.157	34.835	145.106	91.543
18	1	17	96.071	666.456	0	0.598	2.764	9.378	35.912	149.704	60.315
19	1	18	105.489	667.726	0	0.682	2.595	8.271	29.770	116.865	56.055
20	1	19	95.536	658.458	0	0.620	2.629	8.518	31.245	125.215	92.224
21	1	20	92.286	658.247	0	0.612	2.670	8.752	32.335	129.878	82.076
22	1	21	96.922	661.150	0	0.500	2.836	9.982	40.108	177.192	21.228
23	1	22	94.116	662.415	0	0.687	2.826	9.854	38.976	168.420	30.305
24	1	23	94.286	662.872	0	0.676	2.678	8.839	33.061	135.209	73.750
25	1	24	93.923	657.257	0	0.663	2.663	8.786	32.994	136.078	68.021
26	1	25	99.055	665.821	0	0.622	2.904	10.539	43.758	199.709	12.240
27	1	26	95.667	662.279	0	0.594	2.789	9.604	37.532	160.493	60.782
28	1	27	90.988	666.326	0	0.661	2.788	9.613	37.674	161.711	67.893
29	1	28	98.583	664.550	0	0.707	2.834	9.831	38.416	163.146	19.872
30	1	29	96.569	664.760	0	0.537	2.838	9.956	39.628	172.364	42.279
31	1	30	97.093	665.863	0	0.677	2.639	8.633	32.181	131.901	94.174
32	1	31	91.544	665.114	0	0.626	2.645	8.651	32.089	130.225	63.597
33	1	32	88.332	669.684	0	0.630	2.624	8.500	31.178	124.870	54.068
34	1	33	98.999	669.255	0	0.733	2.663	8.776	32.938	135.793	67.071
35	1	34	104.420	674.409	0	0.550	2.912	10.369	41.579	181.071	13.384
36	1	35	102.274	671.613	0	0.620	2.824	9.835	38.852	167.969	35.180
37	1	36	108.903	679.926	0	0.522	2.775	9.510	36.989	157.366	26.691
38	1	37	108.742	680.089	0	0.665	2.687	8.902	33.469	137.908	73.908
39	1	38	111.721	681.573	0	0.574	2.657	8.693	32.187	130.249	119.602
40	1	39	108.051	677.583	0	0.592	2.843	9.900	38.925	166.817	41.111
41	1	40	106.438	675.678	0	0.632	2.680	8.856	33.156	135.633	101.687
42	1	41	108.082	672.832	0	0.599	2.617	8.483	31.261	126.337	69.231
43	1	42	112.512	675.192	0	0.598	2.629	8.532	31.442	127.172	47.199
44	1	43	110.932	673.822	0	0.554	2.665	8.765	32.627	132.468	41.219
45	1	44	109.657	673.072	0	0.592	2.730	9.248	35.791	152.666	68.320
46	1	45	110.667	671.778	0	0.594	2.603	8.365	30.472	121.445	55.804
47	1	46	108.822	673.500	0	0.572	2.669	8.830	33.223	137.107	46.303
48	1	47	109.334	675.662	0	0.576	2.678	8.852	33.181	136.072	50.373
49	1	48	112.475	674.194	0	0.589	2.734	9.110	34.094	138.438	56.478
50	1	49	111.594	673.113	0	0.611	2.712	9.031	33.994	139.702	84.268
51	1	50	107.798	673.548	0	0.568	2.617	8.435	30.718	121.869	64.410
52	1	51	102.938	674.227	0	0.614	2.718	9.131	34.802	145.079	60.944
53	1	52	102.012	676.468	0	0.666	2.672	8.849	33.288	137.108	67.452
54	1	53	101.338	675.030	0	0.608	2.683	8.914	33.662	139.264	55.063
55	1	54	101.831	676.102	0	0.632	2.698	8.984	33.946	140.327	82.078
56	1	55	103.431	673.728	0	0.582	2.649	8.675	32.185	130.310	81.210
57	1	56	103.340	674.326	0	0.592	2.602	8.370	30.557	122.159	80.815
58	1	57	100.923	675.942	0	0.619	2.644	8.652	32.143	130.617	103.175
59	1	58	100.206	676.106	0	0.625	2.610	8.347	30.076	117.888	86.741
60	1	59	102.106	676.896	0	0.626	2.686	8.892	33.350	136.746	77.660
