#  x=dt^2          y1=slow d rate  y2=fast d rate  y1_err (down)   y1_err (up)     y2_err (down)   y2_err (up)
   1.0000000e+00   1.2193404e-02   5.0990674e-02   6.2623448e-04   6.2623448e-04   1.4132482e-02   1.4132482e-02
   4.0000000e+00   1.1736751e-02   4.1450401e-02   1.2323354e-03   1.2323354e-03   1.4645537e-02   1.4645537e-02
   9.0000000e+00   1.1472741e-02   4.2050001e-02   2.1479647e-03   2.1479647e-03   2.9904392e-02   2.9904392e-02
   1.6000000e+01   1.2440375e-02   3.5859647e-02   4.0912803e-03   4.0912803e-03   3.3295089e-02   3.3295089e-02
   2.5000000e+01   1.2866315e-02   4.8867282e-02   1.3588146e-03   1.3588146e-03   2.8185546e-02   2.8185546e-02
   3.6000000e+01   1.1514670e-02   3.2284078e-02   7.5095698e-03   7.5095698e-03   3.1414692e-02   3.1414692e-02
   4.9000000e+01   6.5292646e-03   2.2509250e-02   1.4071047e-02   1.4071047e-02   1.3388546e-02   1.3388546e-02
   6.4000000e+01   1.3914963e-02   2.0000000e-02   1.0282741e-02   1.0282741e-02             NaN             NaN
   8.1000000e+01   8.9291173e-03   2.0001015e-02   5.4035891e-02   5.4035891e-02   3.3822262e-02   3.3822262e-02
