   5.0000000e-01   9.9931563e-01   9.8376525e-01
   1.0000000e+00   9.9847767e-01   9.6291070e-01
   1.5000000e+00   9.9883281e-01   9.6746206e-01
   2.0000000e+00   9.9834724e-01   9.6594918e-01
   2.5000000e+00   9.9828450e-01   9.6145029e-01
   3.0000000e+00   9.9851907e-01   9.6495692e-01
   3.5000000e+00   9.9660239e-01   9.6470419e-01
   4.0000000e+00   9.9732410e-01   9.7468014e-01
   4.5000000e+00   9.9635681e-01   9.8168376e-01
   5.0000000e+00   9.9606113e-01   9.7932223e-01
   5.5000000e+00   9.9606615e-01   9.8559563e-01
   6.0000000e+00   9.9889062e-01   9.7816998e-01
