   5.0000000e-01   9.9916735e-01   9.8455024e-01
   1.0000000e+00   9.9894879e-01   9.9127977e-01
   1.5000000e+00   9.9796282e-01   9.9462911e-01
   2.0000000e+00   9.9736426e-01   9.9648920e-01
   2.5000000e+00   9.9774036e-01   9.9802345e-01
   3.0000000e+00   9.9538301e-01   9.9648640e-01
   3.5000000e+00   9.9807113e-01   9.9871225e-01
   4.0000000e+00   9.9455167e-01   9.9675178e-01
   4.5000000e+00   9.8955441e-01   9.9423436e-01
   5.0000000e+00   9.9362585e-01   9.9716773e-01
   5.5000000e+00   9.9167258e-01   9.9559413e-01
   6.0000000e+00             NaN   9.9400137e-01
