639.406	0.0905967	
639.437	0.0923292	
639.469	0.0946749	
639.5	0.116393	
639.531	0.176151	
639.562	0.44685	
639.594	0.521292	
639.625	0.616792	
639.656	0.657773	
639.687	0.299702	
639.719	0.0821651	
639.75	0.0391073	
639.781	0.0204483	
639.812	0.0150365	
639.844	0.0124396	
639.875	0.0105772	
639.906	0.0103045	
639.937	0.0120113	
639.969	0.0154075	
640	0.0223294	
640.031	0.0350774	
640.062	0.0839896	
640.094	0.170815	
640.125	0.293169	
640.156	0.445459	
640.187	0.524581	
640.219	0.548847	
640.25	0.567049	
640.281	0.650989	
640.312	0.726021	
640.344	0.598488	
640.375	0.291982	
