#  dt		   adj R^2 dual    adj R^2 single mode diffusion
   1.0000000e+00   9.9799974e-01   9.9296694e-01
   2.0000000e+00   9.9819040e-01   9.9239903e-01
   3.0000000e+00   9.9627951e-01   9.9096682e-01
   4.0000000e+00   9.9658553e-01   9.9316071e-01
   5.0000000e+00   9.9909920e-01   9.9497873e-01
   6.0000000e+00   9.9672747e-01   9.9194569e-01
   7.0000000e+00   9.9792896e-01   9.9253186e-01
#   8.0000000e+00   9.9433649e-01   9.9493227e-01
#   9.0000000e+00   9.9762070e-01   9.9740654e-01
