#  dt                      S energydepleted        s energydepleted        S logphase              s logphase
#   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   5.4000000e-01	   1.3222849e-08	   1.2401754e-08	   1.0646494e-08	   1.0729936e-08	
   5.5000000e-01	   1.3404517e-08	   1.2996467e-08	   1.0819382e-08	   1.0557040e-08	
   5.6000000e-01	   1.3540170e-08	   1.3161799e-08	   1.0981512e-08	   1.1027792e-08	
   5.7000000e-01	   1.3640771e-08	   1.3268892e-08	   1.1126331e-08	   1.1121245e-08	
   5.8000000e-01	   1.3846020e-08	   1.3119438e-08	   1.1305314e-08	   1.1116994e-08	
   5.9000000e-01	   1.3939956e-08	   1.3544375e-08	   1.1458027e-08	   1.1012342e-08	
   6.0000000e-01	   1.4068688e-08	   1.3893125e-08	   1.1608165e-08	   1.1068926e-08	
   6.1000000e-01	   1.4237540e-08	   1.3983274e-08	   1.1783863e-08	   1.1058919e-08	
   6.2000000e-01	   1.4374575e-08	   1.3935090e-08	   1.1940766e-08	   1.0882793e-08	
   6.3000000e-01	   1.4438788e-08	   1.4165705e-08	   1.2080589e-08	   1.0712512e-08	
   6.4000000e-01	   1.4653754e-08	   1.3921478e-08	   1.2261412e-08	   1.0946870e-08	
   6.5000000e-01	   1.4764584e-08	   1.4047192e-08	   1.2415116e-08	   1.0654833e-08	
   6.6000000e-01	   1.4890280e-08	   1.4300357e-08	   1.2564208e-08	   1.1189099e-08	
   6.7000000e-01	   1.5032623e-08	   1.4672208e-08	   1.2735286e-08	   1.1237877e-08	
   6.8000000e-01	   1.5208542e-08	   1.4662753e-08	   1.2900358e-08	   1.1275117e-08	
   6.9000000e-01	   1.5298704e-08	   1.5105957e-08	   1.3042571e-08	   1.1038658e-08	
   7.0000000e-01	   1.5490560e-08	   1.5716415e-08	   1.3223507e-08	   1.1924095e-08	
   7.1000000e-01	   1.5595718e-08	   1.6482802e-08	   1.3373902e-08	   1.2092761e-08	
   7.2000000e-01	   1.5730886e-08	   1.6280271e-08	   1.3520900e-08	   1.2244993e-08	
   7.3000000e-01	   1.5881256e-08	   1.5890951e-08	   1.3690851e-08	   1.1983912e-08	
   7.4000000e-01	   1.6019968e-08	   1.6701795e-08	   1.3849232e-08	   1.2002422e-08	
   7.5000000e-01	   1.6120020e-08	   1.7554994e-08	   1.3991413e-08	   1.2082023e-08	
   7.6000000e-01	   1.6296943e-08	   1.7638913e-08	   1.4169920e-08	   1.2316085e-08	
   7.7000000e-01	   1.6413644e-08	   1.7590515e-08	   1.4324027e-08	   1.2157126e-08	
   7.8000000e-01	   1.6517760e-08	   1.7500691e-08	   1.4473307e-08	   1.2197675e-08	
   7.9000000e-01	   1.6699352e-08	   1.7482351e-08	   1.4649882e-08	   1.2144382e-08	
   8.0000000e-01	   1.6791209e-08	   1.7921907e-08	   1.4804422e-08	   1.2029144e-08	
   8.1000000e-01	   1.6906828e-08	   1.8298064e-08	   1.4953716e-08	   1.2678671e-08	
   8.2000000e-01	   1.7069140e-08	   1.8170014e-08	   1.5134809e-08	   1.2812577e-08	
   8.3000000e-01	   1.7191611e-08	   1.7285264e-08	   1.5291507e-08	   1.3181902e-08	
   8.4000000e-01	   1.7265295e-08	   1.6761206e-08	   1.5437921e-08	   1.3903963e-08	
   8.5000000e-01	   1.7463832e-08	   1.6887981e-08	   1.5617320e-08	   1.3857437e-08	
   8.6000000e-01	   1.7573450e-08	   1.6618840e-08	   1.5770933e-08	   1.3914612e-08	
   8.7000000e-01	   1.7689472e-08	   1.6050829e-08	   1.5920548e-08	   1.4053347e-08	
   8.8000000e-01	   1.7833990e-08	   1.5921422e-08	   1.6091717e-08	   1.3759351e-08	
   8.9000000e-01	   1.7978680e-08	   1.6523637e-08	   1.6242380e-08	   1.3922769e-08	
   9.0000000e-01	   1.8064818e-08	   1.6551338e-08	   1.6384263e-08	   1.3924986e-08	
   9.1000000e-01	   1.8245412e-08	   1.6390716e-08	   1.6556715e-08	   1.3859747e-08	
   9.2000000e-01	   1.8349014e-08	   1.7052705e-08	   1.6709911e-08	   1.3725553e-08	
   9.3000000e-01	   1.8470007e-08	   1.7293392e-08	   1.6853621e-08	   1.4095617e-08	
   9.4000000e-01	   1.8615554e-08	   1.7348710e-08	   1.7025069e-08	   1.4188272e-08	
   9.5000000e-01	   1.8744678e-08	   1.7466462e-08	   1.7182314e-08	   1.4646694e-08	
   9.6000000e-01	   1.8831221e-08	   1.8076451e-08	   1.7321173e-08	   1.5068629e-08	
   9.7000000e-01	   1.9006337e-08	   1.8363093e-08	   1.7498483e-08	   1.4876518e-08	
   9.8000000e-01	   1.9110619e-08	   1.7986856e-08	   1.7650139e-08	   1.4685057e-08	
   9.9000000e-01	   1.9220838e-08	   1.8286188e-08	   1.7795893e-08	   1.5300886e-08	
   1.0000000e+00	   1.9395891e-08	   1.8742485e-08	   1.7968630e-08	   1.5532038e-08	
   1.0100000e+00	   1.9477853e-08	   1.8665189e-08	   1.8122675e-08	   1.6366377e-08	
   1.0200000e+00	   1.9596574e-08	   1.8836998e-08	   1.8270129e-08	   1.6882304e-08	
   1.0300000e+00	   1.9739759e-08	   1.9518425e-08	   1.8443300e-08	   1.6888140e-08	
